FIPS,y17_M059_valueNumeric,y17_M061_valueNumeric,y17_M063_valueNumeric,y17_M066_valueNumeric,y17_M068_valueNumeric,y17_M070_valueNumeric,y17_M078_valueNumeric,y17_M079_valueNumeric,y17_M080_valueNumeric,y17_M081_valueNumeric,y17_M082_valueNumeric,y17_M083_valueNumeric
5091,31.6,5.3,14.53,40.59,38.56,0.78,7.6,40.02,,62.13,3.97,8.49
5093,82.7,73.5,81.42,95.55,0.17,0.14,0.06,68.35,12.97,86.72,22.56,37.25
5095,52.2,78.85,48.63,87.2,0.3,1.83,2.96,65.81,2.03,85.05,1.63,26.29
5097,15.5,0.39,4.5,25.03,56.85,0.06,24.71,9.28,0,38.85,0,0
5099,19.6,0.04,5.44,23.02,48.14,1.86,25.67,16.72,,53.63,0,
5101,19.2,0.02,2.78,11.13,60.08,0,52.41,0.14,,48.27,0,0
5103,6,0,1.16,17.81,38.59,0.5,18.34,10.34,0,28.77,0,
5105,22,8.46,8.97,28.96,41.48,1.84,25.23,33.62,4.07,65.32,,6.98
5107,81.6,75.33,79.81,95.55,0.29,0.76,1.69,77.14,2,97.81,11.97,32.05
5109,21.4,0.6,6,23.84,50.1,0,78.84,36.39,,74.83,0,0
5111,65.2,80.92,61.57,90.4,2.21,0.72,0.67,44.89,4.14,92.19,11.99,28.17
5113,25.5,0.05,6.85,19.58,59.31,0,61.67,15.32,0,68.37,0,0
5115,30.5,4.21,10.92,29.15,43.71,1.45,35.41,27.97,,59.44,,4.78
5117,65.7,62.85,51.39,69.47,3.04,5.86,2.72,61.66,1.67,82.76,,23.12
5119,16.3,26.12,9.18,48.13,20.01,3.61,7.67,50.5,9.2,79.17,0.08,16.83
5121,53.4,26.7,24.98,39.91,41.88,0.69,16.66,26.54,0.06,73.76,3.35,9.25
5123,63.8,71.29,56.98,84.67,2.28,1.26,,55.96,0.84,95.28,9.93,38.9
5125,9,0.24,2.77,25.8,44.39,0,11.95,15.45,0,46.08,0,0.05
5127,16.4,,4.54,23.83,52.87,0,24.07,4.26,0,30.09,0,0
5129,45.8,0.04,7.05,12.49,65.49,0,14.7,0.14,0,48.22,0,0
5131,29.6,0.16,8.54,23.95,56.56,0,34.56,8.06,0.01,33.75,,
