FIPS,y17_M059_valueNumeric,y17_M061_valueNumeric,y17_M063_valueNumeric,y17_M066_valueNumeric,y17_M068_valueNumeric,y17_M070_valueNumeric,y17_M078_valueNumeric,y17_M079_valueNumeric,y17_M080_valueNumeric,y17_M081_valueNumeric,y17_M082_valueNumeric,y17_M083_valueNumeric
29139,64.6,1.48,42.27,59.16,21.07,1.56,1.59,44.56,8.06,81.86,,12.92
29141,55,0.11,22.34,33.66,52.04,0.47,25.52,6.5,0.34,37.96,,0.99
29143,96.9,61.5,95.04,96.54,0.3,0.5,0.18,50.26,8.12,94.37,16.36,15
29145,65.4,0.18,22.82,29.4,58.11,0.25,33.4,12.42,1.75,48.08,0.97,5.5
29147,78.4,0.37,57.97,63.5,21.09,6.18,2.39,35.58,7.1,77.63,0.29,6.86
29149,39.8,0.01,5.41,10.99,65.47,0.17,9.45,2.8,0,49.67,0,0
29151,82.4,0.4,26.14,24.93,51.41,0.46,15.88,9.96,1.31,38.72,0.57,1.53
29153,47.6,0.46,6.38,10.74,65.96,0.06,7.51,6.46,0,84.33,0,
29155,94,50,90.94,95.17,0.26,0.12,0,58.8,7.87,97.13,11.75,38.6
29157,72,0.64,41.05,47.17,23.43,3.11,2.23,27.73,1.88,66.86,0.43,5.26
29159,89.2,0.18,54.97,56.48,27.78,1.89,10.3,36.46,4.22,74.31,0.01,5.62
29161,37.1,0.04,6.85,15.6,59.06,0.28,17.28,0.36,,30.92,,0.1
29163,72.4,1.62,48.44,58.49,18.35,2.88,2.2,32.09,6.85,78.16,,4.09
29165,60,2.76,47.19,70.03,12.89,1.04,0.98,31.72,2.46,82.99,0.12,8.27
29167,88.4,0.67,25.43,23.27,65.11,0.07,15.19,7.68,0.09,34.92,0.03,2.42
29169,31.8,0.22,6.92,18.28,60.91,0.01,5.35,,,44.56,,4.96
29171,79.8,,40.05,34.61,41.25,6.06,8.61,11.67,2.69,38.56,,2.79
29173,80.9,,60.33,63.17,15.63,5.4,0.71,30.39,5.55,72.74,0,4.18
29175,68.9,0.33,40.04,47.61,23.85,6.95,2.64,35.83,11.42,68.3,,11.44
29177,73.3,1.74,49.3,58.27,21.83,5.38,1.47,30.33,0.64,62.48,0.04,5.66
29179,16.7,,2.56,11.02,37.5,0.08,6.24,,0,4.24,0,
29181,35.5,8.94,10.19,20.08,48.49,0.69,7.93,21.16,,49.21,0.31,8.99
29183,43.4,1.09,34.62,72.67,5.67,0.41,2.16,36.98,5.47,86.88,0.23,3.72
29185,57.5,0.01,26.84,39.26,46.23,1.16,3.64,26.56,0.91,60.14,,7.84
29186,52.7,0.1,24.13,37.67,27.78,2.61,2.42,17.53,0.49,51.41,,6.51
29187,43.2,0.26,13,22.74,40.11,,18.9,4.9,,19.69,,1.11
29189,12.6,1.97,3.74,26.82,4.96,1,0.06,18.96,8.48,81.1,0,4.42
29195,91.3,1.64,73.6,75.19,10.57,2.98,2.77,59.8,13.5,86.91,0.05,24.51
29197,84.9,0,41.06,38.73,40.83,5.75,3.52,5.83,2.21,40.29,0.11,1.33
29199,89.5,0,64.95,58.55,16.94,9.53,8.12,19.51,7.5,69.89,,1.58
29201,82.9,41.08,75.66,84.9,4.02,3.87,2.12,56.19,11.94,91.19,1.6,40.67
29203,20.2,0.02,4.53,15.37,56.79,,7.91,0.16,0.04,15.94,0.02,0.23
29205,86.6,0.51,63.89,65.13,12.45,5.04,1.39,46.84,5.36,67.77,,5.67
29207,90.3,59.23,83.11,88.01,4.31,2.02,1.7,58.3,2.53,91.18,21.43,24.97
29209,35.7,0.01,7.04,16.21,64.75,0.21,23.4,5.41,0,61.05,0,0.03
29211,74.7,,38.52,34.65,37.69,11.29,3.87,6.9,0.25,36.68,,0.42
29213,26.7,0.06,4.64,13.97,62.94,0.52,8.08,1.84,0,44.16,0,0.57
29215,51.9,0.29,10.9,16.55,61.8,0.52,11.47,0.76,,31.93,0.01,
29217,82.4,2.8,51.47,53.1,31.02,2.44,9.62,37.46,0.73,72.43,0.58,12.1
29219,46.6,0.73,29.8,58.8,15.53,1.04,3.47,28.73,7.31,79.67,,4.71
29221,21.3,0.1,4.2,15.57,49.11,,4.12,9.43,0,21.89,0,
29223,20.1,0.47,6.83,28.65,32.77,0.8,1.86,13.55,,57.41,0.04,4.94
29225,69.9,0.05,20.3,23.73,58.01,0.05,21.21,3.57,0.05,20.42,0.01,0.64
29227,73.5,0,42.67,41.02,26.41,14.12,2.23,12.62,1.54,49.96,0.76,1.31
29229,65.3,0.18,15.48,17.87,62.62,0.36,15.19,4.53,0,20.13,,0.25
30001,34.8,21.38,4.59,11.33,87.57,,10.7,6.38,0,29.01,0.85,2.95
30003,99.7,1.38,7,4.45,91.57,0.18,0.45,21.81,0.55,68.86,,3.85
30005,75.4,2.17,22.14,16.7,70.87,2.19,0.9,1.67,0,47.78,3.37,3.3
30007,61.2,10.1,14.74,12.99,72.97,1.3,1.84,9.22,,48.77,0.76,12.26
30009,62.2,12.11,10.3,12.72,82.61,0.3,4.64,13.3,0.9,54.23,0.83,3.08
30011,82.7,0.13,11.58,6.39,85.95,0.5,0.56,1.48,0,35.92,0,1.29
30013,73.6,2.81,24.32,20.14,65.92,2.67,1.23,3.13,,73.65,0.72,12.47
30015,81.4,0.69,51.51,34.74,35.66,3.72,0.17,4.51,0.15,67.99,1.33,10.54
30017,86.3,1.78,4.9,3.04,94.34,,1.78,10.86,0.89,42.68,,1.09
30019,84.3,0.08,58.48,46.55,28.41,14.56,0.39,,,74.47,3.26,0.65
30021,74.6,1.87,24.25,17.61,66.64,3.14,0.74,6.9,0,76.43,3.9,7.42
30023,15.7,17.71,2.5,10.58,85.99,0,4.47,,0,33.14,,0
30025,87,0.16,18.49,11.04,79.4,1.21,,,0,41.15,,2.65
30027,78.8,0.74,22.47,17.87,72.61,1.09,0.54,1.9,,58.2,0.75,2.21
30029,5.6,12.14,2.84,40.98,39.14,0.15,5.16,13.36,,52.06,0.13,6.11
30031,42,11.6,12.5,20.57,68.86,,3.47,9.84,0.34,84.96,2.44,12.8
30033,74,0.13,9.83,5.36,86.25,0.97,3.33,1.53,,49.45,,1.97
30035,61.9,2.31,25.76,27.14,59.12,2.74,1.84,4.1,0,62.52,8.26,11.34
30037,90.9,1.07,14.37,6.7,84.39,4.89,0.61,,0,30.91,0.59,0.72
30039,25.8,11.15,2.62,8.78,86.27,0,5.67,4.95,0,25.42,0,
30041,87.1,0.26,65.88,41,23.33,7.37,0.32,9.39,0.79,67.5,3.93,11.62
30043,33.2,9.5,5.46,8.35,82.72,0.93,4.24,1.04,0,34.18,0,
30045,71.9,1.59,23.31,23.02,70.52,0.67,1.22,0.84,,37.79,1.31,6.31
30047,67.2,15.65,9.79,10.03,53.06,0.1,17.76,10.21,0.47,34.05,1.34,3.26
30049,36.2,6.02,3.56,7.5,88.57,0.18,6.51,0.63,0,64.22,,
30051,99.8,0.77,76.36,44.21,22.83,3,,6.34,0,72.83,3.11,8.23
30053,2.1,10.23,0.54,16.33,48.61,0,5.48,0.06,0,13.29,0,0
30055,79.2,0.54,35.01,23.89,54.3,6.25,0.22,12.36,,83.37,2.04,9.87
30057,40.2,14.11,6.58,10.8,85.8,0.27,13.94,12.21,0,55.7,0.17,2.35
30059,57.6,5.9,5.57,7.08,89.7,,6.42,10.49,0,63.07,0,
30061,2.4,3.44,0.7,13.58,35.32,,24.04,0.48,0,35.12,0,0
30063,15.7,5.94,1.3,5.35,27.35,,6.83,1.1,0,59.89,0.05,
30065,92.2,1.17,12.13,6.01,85.9,2.73,0.97,2.27,0,38.59,,
30067,39.7,8.7,6.17,9.27,81.37,1.52,2.6,2.76,0,37.59,,
30069,55.9,1.84,8.01,7.8,86.95,,0.99,,1.72,76.5,,0
30071,58.9,1.62,15.47,13.69,73.78,2.94,3.39,1.31,0,54.98,0.73,3.2
30073,77.4,8.68,53.01,40.56,30.83,3.98,0.71,7.14,0,61.32,2.09,9.93
30075,77.1,0.98,6.9,5.57,91.25,0.03,1.22,5.93,0.34,28.26,0.98,0
30077,38.4,9.04,3.89,7.85,87.86,0.06,3.29,0.66,0,101.72,0.08,
30079,67.2,1.95,11.68,8.99,82.22,1,2.95,13.01,0,68.75,,
30081,15.8,29.42,3.41,16.4,68.09,0.24,12.29,2.18,0.01,50.88,0.24,0.54
30083,95.2,4.21,35.95,20.49,61.21,5.74,1.26,5.73,0.51,59.84,0.3,6.82
30085,86.8,1.86,50.26,36.97,41.11,4.82,0.17,0.88,0,79.05,0.93,2.72
30087,85.2,1.42,5.3,3.03,94.06,0.85,2.27,14.43,,117.39,0.91,2.08
30089,36.4,3.34,2.45,4.47,43.86,,3.73,7.37,0,11.62,0,
30091,99.2,0.43,73.3,59.02,24.95,3.48,0.41,3.04,3.74,80.07,7.93,8.22
30093,13.1,4,0.8,4.12,89.39,0,26.17,,0,93.07,0,0
30095,66.3,3.04,15.28,14.09,76.14,3.06,2.03,2.6,0,51.3,,3.26
30097,69.6,4.69,4.81,4.74,92.39,,1.2,5.28,0,135.65,,
30099,61,10.57,31.65,31.75,47.37,7.37,0.91,13.62,,67.12,0.54,17.52
30101,89.3,0.49,59.93,38.06,31.96,9.07,0.24,5.9,0.34,69.23,2.86,11.37
30103,98.1,5.97,8.91,7.81,90.16,0,8.13,35.49,5.36,69.29,1.92,7.21
30105,51.7,2.77,24.71,32.25,51.19,3.91,0.22,5.96,0.62,80.69,1.66,1.02
30107,94.5,2.68,15.24,9.48,83.65,3.5,0.63,,0,49.7,0,0.65
30109,90.6,0.57,17.29,13.05,80.1,0.8,0.79,,0,59.2,4.38,0
30111,95.1,4.79,17.74,11.65,81.09,1.93,2.72,21.91,0.18,61.28,0.09,4.12
31001,94.3,69.7,83.37,86.63,10.19,0.42,1.58,54.8,7.98,87.77,0.58,20.64
31003,89.7,51.9,66.43,66.45,23.72,1.93,2.98,35.99,4.35,87.97,0.32,5.99
31005,98.9,1.93,6.92,5.51,93.28,,,,,37.45,0,
31007,88.6,6.17,40.04,24.97,54.56,9.32,1.99,12.53,0,64.76,0.22,5.02
31009,80.6,2.31,6.34,6.33,91.05,,5.95,4.3,0,13.08,0,
31011,98.4,39.29,72.65,67.21,23.85,1.6,3.23,16.51,1.74,89.15,0,6.27
31013,98.4,20.45,50.37,36.06,47.6,2.91,0.23,12.18,,88.85,0.34,13.82
31015,93.5,4.31,39.23,36.09,56.01,0.56,2.29,15.81,3.92,61.06,,1.27
31017,78.7,6.51,13.83,13.32,82.17,0.4,4.46,11.81,0.69,43.89,,0
31019,85.3,40.51,52.37,57.48,37.08,0.96,2.71,48.19,5.67,99.8,,13.05
31021,94.7,15.93,87.48,84.4,5.06,3.44,3.41,42.67,9.45,92.03,0,11.76
31023,99.9,27.34,85.24,79.41,11.92,3,3.01,35.9,5.61,95.41,0.12,5.83
31025,97.1,1.13,85.89,84.98,5.99,1.34,0.96,25.54,6.15,91.48,,18.6
31027,99.9,34.48,83,76.35,15.29,2.86,5.41,37.99,1.2,91.61,0.07,5
31029,99.3,29.7,56.42,49.24,42.06,3.13,1.63,23.95,4.55,91.44,1.19,9.18
31031,93.4,1.49,10.06,9.31,87.89,0.01,0.78,6.46,0.88,12.23,,0.82
31033,99.2,6.93,69.06,39.47,29.14,7.88,0.74,3.05,0.27,69.33,,4.97
31035,87.1,59.74,70.84,78.92,16.94,0.31,1.35,43.19,3.09,93.89,0,21.24
31037,99.6,30.86,91.25,87.07,7.86,1.34,7.55,33.13,8.87,87.64,0,13.91
31039,99.5,14.62,90.42,87.43,5.93,1.51,12.13,30.8,5.02,91.31,0,6.04
31041,91.3,17.14,29.23,27.41,66.82,0.3,4.26,36.44,1.65,93.96,0,3.51
31043,98.5,17.51,89.34,84.98,7.03,3.33,2.04,38.34,5.55,91.91,0,15.82
31045,83.9,2.38,19.53,13.67,76.85,0.65,1.9,4.26,0,42.54,0,2.94
31047,94.1,38.52,46.83,47.45,49.72,0.4,5.01,57.67,8.27,95.42,2.26,11.33
31049,98.1,6.3,80.57,50.1,16.96,3.4,4.66,9.98,0,67.68,0,7.93
31051,91.6,10.07,72.79,72.18,17.37,4.28,4.67,44.89,3.22,84.04,1.09,3.54
31053,99.6,39.29,92.27,90.62,4.63,0.91,3.74,29.45,4.02,93.25,0.33,13.73
31055,43.2,27.04,38.81,82.21,5.7,1.04,1.9,17.28,2.85,90.83,,9.79
31057,91.8,14.51,35.76,28.72,61.01,1.84,2.13,18.84,0.34,89.18,1.42,9.2
31059,89.5,66.74,82.92,91.12,6.47,0.18,0.7,50.01,5.96,93.54,0.5,27.78
31061,85.9,30.8,50.75,53.96,39.61,1.89,0.63,27.64,0.37,92.21,0,13.17
31063,77.6,10.37,32.67,35.99,57.34,1.3,0.4,19.25,,109.31,,10.42
31065,97.8,14.23,63.33,55,33.39,3.31,2.28,18.54,0.55,83.89,,7.26
31067,98.9,16.85,82.47,77.36,10.8,4.08,1.97,14.49,1.7,86.39,,3.54
31069,93.4,3.4,15.25,11.88,82.5,0.51,1.1,6.65,0.72,51.02,,4.09
31071,94,4.47,18.22,17.75,79.94,0.83,1.62,12.58,3.08,39.32,0,0
31073,96.2,28.08,51.24,47.38,44.18,2.14,3.67,37.61,,104.35,0,17.69
31075,99.7,0.34,10.18,9.56,88.77,0,0,,0,1.52,0,0
31077,93,27.07,42.91,40.71,51.39,1.2,2.78,31.8,0.58,100.93,,9.72
31079,93.9,70.32,77.81,80.6,15.52,0.14,1.15,67.65,11.07,97.3,1.08,23.82
31081,90,79.45,82.66,90.16,6.65,0.17,2.64,65.09,5.25,92.28,1.04,31.25
31083,94.2,25.94,62.29,57.37,32.71,1.11,1.09,25.68,1.28,91.88,0.89,4.69
31085,95.7,12.79,42.88,33.2,55.6,3.26,3.01,23.59,4.16,75.52,0,8.39
31087,86.4,6.19,50.25,38.22,40.27,2.99,0.31,10.66,0.33,62.5,2.02,8.95
31089,90.2,21.79,39.38,39.66,54.77,0.75,2.31,31.1,3.81,61.15,0.78,5.43
31091,92.5,0.59,1.47,1.47,98.05,,9.7,,0,17.21,0,0
31093,77,41.22,48.85,58.61,34.57,0.85,2.26,38.05,2.29,83.89,,6.56
31095,98.3,29.38,77.76,74.48,17.33,2.48,2.68,14.76,1.07,90.27,,7.37
31097,82,9.85,57.2,60.53,26.63,7.2,2.34,31.17,1.21,77.19,0,10.53
31099,88.2,65.05,74.13,82.4,14.46,0.52,1.55,52.36,4.19,91.22,0.19,22.78
31101,72.3,16.25,33.36,37.32,52.84,1.94,0.6,27.19,1.62,85.05,0.43,6.62
31103,85.5,5.9,19.33,19.94,76.29,0.13,3.8,16.96,0,38.94,0,
31105,99.1,5.6,67.42,32.4,30.66,15.69,1.31,5.11,0.82,49.52,,2.32
31107,84.7,11.79,45.61,45.86,45.77,2.71,7.5,15.99,1.66,76.54,0,2.2
31109,78.9,5.02,67.71,80.72,8.92,2.64,1.88,15.94,5.58,89.55,,7.62
31111,82.7,17.89,25.69,27.58,67.8,0.35,3.17,25.28,2.23,100.14,0.68,9.92
31113,81.6,5.44,11.46,11.36,85.37,0.07,8.12,17.77,3.93,57.72,0,6.9
31115,77.6,3.36,6.67,7.93,90.26,0.21,3.31,10.87,,41.5,0,
31117,88.9,1.65,4.14,3.86,95.14,,,22.48,0,77.69,,
31119,96.4,36.98,85.14,80.9,8.82,2.18,3.25,34.19,3.13,88.5,0.07,4
31121,78.1,67.43,64.8,78.16,15.58,0.75,3.38,41.9,4.55,90.9,1.4,15.26
31123,90.9,14.7,26.61,21.06,70.6,3.04,3.47,19.8,2.03,83.78,,6.21
31125,77.9,34.34,56.2,68.27,24.57,2.45,2.03,32.98,2.86,80.74,0,12.05
31127,100,5.91,88.21,82.88,7.17,2.85,0.81,24.34,1.33,94.43,0,8.63
31129,97.1,21.46,67.56,68.57,28.51,0.39,1.88,32.15,5.72,92.92,,22.52
31131,99,3.29,84.01,80.9,8.05,2.06,2.12,13.08,5.33,89.61,0.03,7.13
31133,98.8,4.18,66.6,60.69,27.21,4.94,1.15,19.74,0.2,74.98,,0.54
31135,98.4,23.72,76.43,64.79,21.94,2.49,1.05,27.51,0.54,84.1,0,8.83
31137,98.9,66.01,80.21,77.35,18.17,0.17,2.54,52.24,1.1,96.88,0,15.17
31139,93.7,36.97,75.01,72.7,17.67,1.93,4.42,26.36,6.38,88.43,0,12.65
31141,88.9,50,77.98,84.01,11.19,1,5.97,33.52,7.69,98.94,0,13.14
31143,89.5,65.42,80.2,85.61,10.83,0.23,4.56,50.98,9.03,91.81,2.1,17.85
31145,95.7,11.98,54.09,43.78,39.97,0.88,1.42,27.68,,86.61,0.31,10.64
31147,96.8,3.27,77.13,73.43,13.63,5.3,1.5,20.23,1.17,88.19,0,1.37
31149,90.5,6.03,18.81,18.44,78.19,0.58,1.71,11.34,,39.21,,2.48
31151,98.1,37.66,83.03,81.62,11.57,2.26,2.87,21.48,1.82,88.24,0,7.93
31153,65,11.58,60.8,89.18,4.56,1.33,0.92,39.97,7.85,94.62,0.44,6.61
31155,99.9,28.27,90.84,83.75,6.18,1.91,3.96,32.78,6.05,92.45,,12.78
31157,93.3,38.66,46.09,41.26,49.69,3.83,2.88,22.81,0.79,80.34,0.44,3.9
31159,99.4,38.17,84.89,78.93,12.27,3.38,1.57,34.41,5.78,88.68,3.09,14.82
31161,100,4.74,19.3,13.35,79.74,1.19,0.7,9.15,0.25,59.35,,4.13
31163,85.8,30.01,43.9,45.16,48.24,0.67,5.84,26.96,5.05,92.78,0,19.18
31165,93,3.4,7.38,5.75,92.15,0.5,11.62,15.88,,52.79,,4.61
31167,97.3,12.98,74.44,69.92,19.77,3.27,5.09,28.31,6.01,89.24,,2.73
31169,88.7,39.42,68.35,74.79,20.8,1.02,1.22,27.82,1.5,83.48,0,16.45
31171,85.1,0.67,1.62,1.14,97.33,,7.13,,,18.82,0,
31173,92.1,6.42,82.08,83.94,5.14,1.53,3.64,34.22,5.14,87.53,0,3.92
31175,96.5,31.73,47.48,44.01,51.24,0.16,5.37,38.6,1.39,97.48,0,12.77
31177,99.3,9.03,86.52,82.83,9.41,1.16,4.96,23.72,4.75,90.04,,7.78
31179,99.2,21.91,89.48,86.87,7.27,0.79,4.62,31.01,2.77,95.56,0,6.64
31181,89.4,20.7,56.03,56,35.41,2.59,1.6,18.13,4.71,82.97,0.52,12.64
31183,97.1,10.33,23.85,20.6,74.79,2.2,1.77,23.73,1.18,74.13,0,0.56
31185,94.6,79.46,89.32,92.43,3.74,0.26,3.23,51.06,4.93,92.47,2.18,23.82
32001,7.9,18.03,1.5,17.09,78.75,,26.23,21.18,0,41.68,0,0.06
32003,,,0.08,,,,27.73,,0,51.85,0,0
32005,26,29.31,4.84,15.98,47.91,0,1.47,,0,62.25,0,
32007,19.8,9.17,1.96,5.84,89.16,0,9.93,0.31,0,10.14,0,
32009,,,0.63,,,,,12.74,0,64.28,0,0
32011,21.6,8.71,2.24,8.02,87.57,,1.81,23.53,,53.68,0,
32013,16,16.43,2.56,12.74,81.51,0,3.79,22.4,,40.98,,0.45
32015,9.4,11.44,1.33,10.37,83.74,0,0.99,11.02,0,35.73,0,0
32017,1,36.53,0.3,28.96,,0,3.27,23.02,0,48.96,0,0.03
32019,14.2,30.74,5.08,25.68,63.17,0,10.32,11.59,,18.65,0,
32021,,,0.09,,,,11.07,0,0,3.92,0,0
32023,0.8,23.51,0.19,15.07,50.94,0,43.41,52.19,,22.73,,
32027,8.5,12.73,1.47,11.17,78.59,0,1.85,31.65,0,53.93,,0
32029,,,0,,,,0,0,0,0,0,0
32031,12.4,8.71,0.55,3.57,61.95,,26.51,1.47,,31.19,,
32033,2.9,31.13,0.65,15.26,65.87,0,8.14,8.98,0,33.53,,0
32510,1,42.34,0.68,,27.95,0,,0,0,9.52,0,0
33001,9.9,0.36,2.04,17.91,11.78,,22.26,4.83,0.29,11.2,0.32,2.92
33003,5.4,0.82,0.74,10.64,11.37,0,12.49,0.79,0,9.74,0,0.29
33005,11.9,0.23,2.37,16.63,8.35,0,19.34,3.2,,10.86,,1.73
33007,4.1,0.11,1.34,23.6,9.81,0,12.72,0.64,0,14.71,,0.12
33009,6.7,0.17,1.49,18.39,9.46,0,33.61,1.11,0,18.58,,0.28
33011,7.9,1.46,2.08,22.14,9.82,0,17.26,10.83,,11.84,2.49,7.92
33013,9.1,0.64,2.93,24.28,9.83,0,28.1,3.77,0.26,18.27,1.3,2.02
33015,7.2,0.93,2.31,23.96,10.84,0,22.61,8.88,,13.68,4.57,5.8
33017,9.9,0.53,2.36,20.34,8.63,0,25.83,7.41,,15.92,0.86,3.88
33019,11.5,0.33,3.18,22.46,14.35,0,26.66,4.31,0,16.45,0.19,0.88
34001,8.2,39.92,4.99,55.34,4.66,0.27,3.17,67.5,12.53,67.83,6.92,55.19
34003,0.7,10.47,0.22,28.54,36.16,0,27.86,22.6,0,22.29,9.6,
34005,18.8,12.92,9.73,47.89,8.17,,3.64,27.84,3.69,68.31,0.29,12.33
34007,6.6,24.82,3.54,49.57,13.85,0,6.78,57.94,,72.57,0.86,36.87
34009,5,17.62,2.39,37.93,11.46,0,2.03,30.75,,43.41,0.49,23.55
34011,21.4,30.21,16.04,66.8,6.04,0.37,3.66,56.87,10.06,72.66,3.18,28.98
34013,0.2,6.28,0.07,25.13,52.36,0,0,0,0,,0,0
34015,24,17.68,17.28,67.05,5.95,0.41,5.51,43.99,4.54,73.73,0.31,27.19
34017,0.1,0,,,,0,,,,,,
34019,37,1.81,23.96,56.38,17.29,0.27,6.37,17.98,7.83,46.64,0.58,8.96
34021,17.6,4,11,50.43,18.46,0.42,4.62,10.69,0.04,60.6,0.42,5.1
34023,8.1,12.49,5.68,62.73,5.65,,1.46,39.32,0.09,69.76,0.54,14.35
34025,13.1,9.06,7.94,53.16,18.69,0,6.47,19.56,0.61,60.98,0.44,10
34027,4.9,6.92,2.26,40.68,17.6,,15.24,17.93,2.72,35.95,1.55,13.19
34029,2.1,9.51,1.09,,10.78,,2.98,24.98,7.03,40.8,,13.67
34031,1.6,5.34,0.26,14.26,13.58,7.92,17.21,,0,23.05,,
34033,46.3,17.45,38.09,76.28,6.54,0.46,5.48,34.85,1.91,78.05,0.15,13.99
34035,18.6,2.44,10.28,,22.37,,10.88,16.7,4.96,43.22,0.04,7.7
34037,18,0.68,7.73,34.2,23.35,0.19,13.31,6.77,,24.26,0.28,1.29
34039,0.1,12,,,,0,,,,,,
34041,32.4,1.96,20.5,57.88,12.61,0.39,11.25,33.77,4.34,63.65,2.05,15.09
35001,29.8,1.92,0.87,1.74,,0,12.43,19.97,,19.09,0.32,0.4
35003,28.4,0.14,0.11,0.02,99.39,,14.86,0.1,0,16.44,0,0
35005,59.7,1.85,1.6,,96.85,0.39,19.3,48.76,3.76,66.91,3.58,8.19
35006,54.8,0.06,0.19,0.05,98.3,0,2.32,0.74,0.07,1.66,0,0.17
35007,86.2,0.81,0.8,,97.29,0.09,7.02,6.22,0,2.87,0,0
35009,100.3,6.51,47.62,18.63,54.03,15.28,2.73,7.49,,40.84,1.15,0.11
35011,79.5,0.64,0.68,0.68,99.05,0.14,9.89,75.72,0.72,143.29,0,0
35013,21.7,13.95,3.82,14.43,81.31,0,3.48,56.5,5.06,54,7.85,1.8
35015,40.7,2.9,1.85,,94.64,,11.26,41.89,,108.57,12.93,10.56
35017,35.3,0.22,0.26,0.17,98.47,,9.75,4.8,0.09,28.44,0,0
35019,74.5,0.29,0.69,0.19,98.62,,,1.28,0,12.31,0,0
35021,69,0.1,1.09,,98.23,1.53,,,0,8.07,0,0
35023,38.6,2.18,1.16,,96.81,0.1,0.7,46.9,,43.28,,
35025,69,2.21,3.98,2.49,94.4,0.88,3.34,9.88,3.69,40.52,5.21,0.13
35027,47.4,0.15,0.22,0.03,99.53,0.19,17.39,0.5,0,17.09,0,0.2
35028,,,0,,,,,0,0,0,0,0
35029,30.3,3.48,1.58,3.5,94.12,,3.95,63.15,7,63.05,15.62,9.7
35031,73.7,0.1,1.11,0.04,97.7,,0.62,0.3,0,,0.02,0
35033,75.4,1.26,1.72,1.13,94.82,0.13,5.87,,0,3.18,0,0
35035,24.1,0.46,0.2,0.44,98.72,,9.17,10.74,0,34.59,0.66,0.34
35037,84.2,0.85,10.85,2.71,87.98,4.6,0.36,0.5,0,40.64,0.7,0
35039,36.3,1.92,1.11,1.14,93.99,0.21,4.02,8.5,0.01,7.91,0.23,0.06
35041,95.8,2.97,20.26,,80.63,10.1,5.71,17.25,0.85,46.06,2.14,0.85
35043,33,0.87,0.74,0.71,97.05,,5.42,1.93,,,0.05,0.14
35045,72.3,2.88,3.05,2.72,95,0,3.02,6.36,,,0.01,
35047,75.1,0.59,0.74,0.22,97.51,0.08,3.49,0.33,0,2.22,0,0
35049,,,1.94,,,,24.58,28.75,,27.02,0.08,0.06
35051,37.8,0.57,0.32,0.67,98.29,0.03,2.39,44.27,,79.34,10.07,
35053,21.4,1.78,0.42,1.57,97.5,0,14.08,44.22,0.72,37.24,1.44,0.32
35055,20.2,5.56,1.18,4.14,87.72,,5.01,0.65,0,0.7,,
35057,72.9,1.03,1.39,0.78,98.07,0.42,22.7,22.06,0,27.5,,
35059,77.1,0.82,2,1.11,97.7,1.02,,16.73,0,75.94,0,5.29
35061,75.8,3.08,2.64,3.01,96.13,0,12.77,35.48,0.63,38.89,0.07,0.04
36001,17.8,1.88,10.32,47.52,17.87,0.27,6.15,3.58,,13.63,0.79,2.85
36003,24.5,0.22,13.47,44.52,15.64,0.62,19.06,11.35,,32.85,,2.12
36005,0,0,0,0,0,0,0,0,0,0,0,0
36007,13.8,0.72,7.41,43.19,14.52,2.27,20.37,10.79,0.24,15.44,0.15,0.67
36009,19.8,0.1,10.6,40.49,16.2,0.66,30.02,9.76,0.25,29.45,,0.44
36011,50.9,0.12,40.19,69.25,6.08,0.75,22.95,24.53,,63.63,0.08,3.29
36013,33,0.46,18.71,46.7,12.35,0.21,23.4,19.89,0.36,44.48,1.68,11.39
36015,25.7,0.18,13.41,39.81,15.83,0.54,12.51,4.71,,21.22,0.18,1.4
36017,26,0.21,13.48,43.87,16.43,1.77,30.8,4.42,0,16.12,,0.77
36019,24.3,0.48,12.82,41.47,13.87,,26.7,23.56,4.78,40.05,4.44,11.92
36021,24.4,2.15,15.87,55.31,16.82,0.12,13.07,17.91,,43.74,3.1,10.06
36023,35.6,0.16,18.32,42.5,15.75,1.27,36,5.07,1.24,29.93,,0.54
36025,15.2,0.15,7.35,38.5,19.36,1.26,33.37,2.83,0.79,11.87,,2.31
36027,20,0.75,7.88,31.75,27.74,,10.05,9.52,1.5,27.87,1.78,1.95
36029,21.4,1.41,14.45,55.45,9.57,0.3,21.78,11.11,0.55,39.21,1.06,4
36031,5,0.22,1.97,32.11,17.59,0.38,5.99,3.16,,10.12,,0.69
36033,13.5,0.34,7.18,43.69,17.37,0.13,33.7,8.05,3.37,31.46,0,
36035,7,0.52,4.04,43.22,15.52,,23.67,5.36,0,12.86,0.15,1.02
36037,56.1,1.85,47.1,75.65,3.59,0.62,14.6,42.01,0.53,60.71,3.7,12.74
36039,8.4,0.93,3.31,32.01,18.46,0.67,9.25,10.12,,14.71,0.18,7.14
36041,0.1,,0,,0,0,0,,0,0,0,0
36043,13,0.15,7.69,45.9,19.12,0.72,25.28,10.7,7.26,26.02,0.37,6.74
36045,30.5,0.17,20.78,58.1,13.7,0.89,21.93,6.77,0.03,31.61,0.04,1.69
36047,0,65.22,0.05,100,0,0,,13.04,13.04,0,0,13.04
36049,22.4,0.03,12.87,52,8.92,0.03,46.75,6.35,0.58,30.68,,
36051,46.9,0.11,36.08,69.43,8.5,0.55,20.72,23.14,,62.68,0.6,4.22
36053,41,0.27,25.16,51.01,14.82,0.31,29.5,10.43,,41.31,1.36,3.04
